date,ticker,action,price,units_after,reason
2022-06-03,267270,BUY,46600.0,1,ENTRY
2022-06-14,267270,SELL,42550.0,0,STOP_8PCT
2022-09-15,086520,BUY,27728.0,1,ENTRY
2022-09-19,086520,SELL,25022.0,0,STOP_8PCT
2022-09-19,111770,BUY,48000.0,1,ENTRY
2022-09-20,034230,BUY,16750.0,1,ENTRY
2022-09-23,034230,SELL,15650.0,0,MA20_BREAK
2022-09-30,111770,SELL,44600.0,0,MA20_BREAK
2022-11-25,033780,BUY,96500.0,1,ENTRY
2022-11-30,282330,BUY,205500.0,1,ENTRY
2022-12-01,000250,BUY,47400.0,1,ENTRY
2022-12-02,144600,BUY,4565.0,1,ENTRY
2022-12-05,090430,BUY,139500.0,1,ENTRY
2022-12-19,033780,SELL,96900.0,0,MA20_BREAK
2022-12-19,145020,BUY,134100.0,1,ENTRY
2022-12-26,282330,SELL,204500.0,0,MA20_BREAK
2022-12-26,090430,SELL,133000.0,0,MA20_BREAK
2022-12-26,071970,BUY,6990.0,1,ENTRY
2022-12-27,192820,BUY,73000.0,1,ENTRY
2022-12-28,000250,SELL,46250.0,0,MA20_BREAK
2022-12-28,032350,BUY,14600.0,1,ENTRY
2023-01-04,145020,SELL,128700.0,0,MA20_BREAK
2023-01-04,277810,BUY,46900.0,1,ENTRY
2023-01-06,144600,SELL,4635.0,0,MA20_BREAK
2023-01-09,277810,ADD,52700.0,2,ADD_8PCT
2023-01-12,032350,SELL,13550.0,0,MA20_BREAK
2023-01-12,082920,BUY,7595.0,1,ENTRY
2023-01-13,277810,ADD,54700.0,3,ADD_16PCT
2023-01-19,071970,SELL,6800.0,0,MA20_BREAK
2023-01-19,082920,ADD,8604.0,2,ADD_8PCT
2023-01-26,082920,SELL,7903.0,0,STOP_8PCT
2023-01-26,003530,BUY,3360.0,1,ENTRY
2023-01-27,192820,ADD,79900.0,2,ADD_8PCT
2023-02-01,003530,ADD,3695.0,2,ADD_8PCT
2023-02-03,003530,SELL,3340.0,0,STOP_8PCT
2023-02-10,277810,SELL,71500.0,0,MA20_BREAK
2023-02-14,098460,BUY,18030.0,1,ENTRY
2023-02-16,086520,BUY,46892.0,1,ENTRY
2023-02-17,140860,BUY,141800.0,1,ENTRY
2023-02-22,098460,SELL,16610.0,0,MA20_BREAK
2023-02-23,214370,BUY,38960.0,1,ENTRY
2023-02-27,192820,SELL,78000.0,0,MA20_BREAK
2023-02-27,086520,ADD,54937.0,2,ADD_8PCT
2023-02-28,086520,ADD,56016.0,3,ADD_16PCT
2023-02-28,214370,SELL,35340.0,0,MA20_BREAK
2023-03-03,140860,SELL,136300.0,0,MA20_BREAK
2023-03-03,247540,BUY,182100.0,1,ENTRY
2023-03-06,247540,ADD,217000.0,2,ADD_8PCT
2023-03-10,247540,SELL,193600.0,0,STOP_8PCT
2023-03-10,388720,BUY,31200.0,1,ENTRY
2023-03-13,140410,BUY,19900.0,1,ENTRY
2023-03-14,388720,SELL,28350.0,0,STOP_8PCT
2023-03-15,058610,BUY,28150.0,1,ENTRY
2023-03-21,140410,SELL,18010.0,0,STOP_8PCT
2023-03-21,058610,ADD,32100.0,2,ADD_8PCT
2023-03-22,058610,ADD,33300.0,3,ADD_16PCT
2023-04-10,058610,SELL,32200.0,0,MA20_BREAK
2023-04-10,247540,BUY,292500.0,1,ENTRY
2023-04-11,281740,BUY,11140.0,1,ENTRY
2023-04-12,281740,ADD,12200.0,2,ADD_8PCT
2023-04-13,247540,SELL,268500.0,0,STOP_8PCT
2023-04-13,281740,SELL,11200.0,0,STOP_8PCT
2023-04-13,000250,BUY,98000.0,1,ENTRY
2023-04-14,003670,BUY,331990.0,1,ENTRY
2023-04-17,003670,ADD,372701.0,2,ADD_8PCT
